"Font Size Previous Combo Size","Main","Ctrl+NUMPAD4","Font Size Previous Combo Size",
"Font Size Previous Combo Size","Table Text Editing","Ctrl+NUMPAD4","Font Size Previous Combo Size",
"Font Size Previous Combo Size","Text Editing","Ctrl+NUMPAD4","Font Size Previous Combo Size",
"Font Style","Table Text Editing","Ctrl+Shift+W","Choose a font style for the text.",
"Font Style","Text Editing","Ctrl+Shift+W","Choose a font style for the text.",
"Force Justify","Table Text Editing","Ctrl+H","Align all text with both the left and right sides of the bounding box. ",
"Force Justify","Text Editing","Ctrl+H","Align all text with both the left and right sides of the bounding box. ",
"Forward One","Main","Ctrl+PgUp","Move object one level up in the stacking order.",
"Fountain Fill","Main","F11","Fill an object with a gradient of colors or shades.",
"Freehand","Main","F5","Draw curves and straight line segments.",
"Full Justify","Table Text Editing","Ctrl+J","Align all text, excluding the last line, with both the left and right sides of the bounding box.",
"Full Justify","Text Editing","Ctrl+J","Align all text, excluding the last line, with both the left and right sides of the bounding box.",
"Full Screen","Print Preview","Ctrl+U","Full Screen",
"Full Screen","Print Preview","F9","Full Screen",
"Full-screen Preview","Main","F9","Show a full-screen preview of the document.",
"General...","Print Preview","Ctrl+E","General...",
"Glyphs","Main","Ctrl+F11","Explore characters, glyphs, and OpenType features within fonts.",
"Go To...","Print Preview","Ctrl+G","Go To...",
"Graph Paper","Main","D","Draw a grid.",
"Group","Main","Ctrl+G","Group objects while preserving their individual attributes.",
"Guidelines","Main","","Align objects with guidelines in the document.",
"HTML Font Size List","Text Editing","Ctrl+Shift+H","HTML Font Size List",
"Help Topics...","Print Preview","Ctrl+F1","Help Topics...",
"Hide","Main","Ctrl+3","Hide object",
"Horizontal Text","Main","Ctrl+,","Changes the text to horizontal direction",
"Hue/Saturation/Lightness...","Main","Ctrl+Shift+U","Hue/Saturation/Lightness",
"Import File...","Print Merge","Ctrl+M","Import File...",
"Import...","Main","Ctrl+I","Import a file into the active document.",
"Interactive Fill","Main","G","Dynamically apply the current fill to an object in the drawing window.",
"Italic","Table Text Editing","Ctrl+I","Make the text italic.",
"Italic","Text Editing","Ctrl+I","Make the text italic.",
"Join Curves","Main","Ctrl+Shift+J","Join Curves",
"Knife","Main","K","Slice an object to split it into two separate objects, either directly, with a gap, or an overlap.",
"Layout...","Print Preview","Ctrl+L","Layout...",
"Left","Table Text Editing","Ctrl+L","Align text with the left side of the bounding box.",
"Left","Text Editing","Ctrl+L","Align text with the left side of the bounding box.",
"Lens","Main","Alt+F3","Lens Docker Window",
"LiveSketch","Main","S","Sketch naturally and fluidly with intelligent stroke adjustment.",
"Lock","Main","Ctrl+2","Disable editing on selected objects.",
"Merge Cells","Table Editing","Ctrl+M","Merge cells into one cell.",
"Mesh Fill","Main","M","Fill an object by blending multiple colors or shades arranged over a mesh grid.",
"Micro Nudge Anchor Down","Anchor Editing","Ctrl+DnArrow","Micro Nudge Anchor Down",
"Micro Nudge Anchor Left","Anchor Editing","Ctrl+LeftArrow","Micro Nudge Anchor Left",
"Micro Nudge Anchor Right","Anchor Editing","Ctrl+RightArrow","Micro Nudge Anchor Right",
"Micro Nudge Anchor Up","Anchor Editing","Ctrl+UpArrow","Micro Nudge Anchor Up",
"Micro Nudge Down","Main","Ctrl+DnArrow","Micro Nudge Down",
"Micro Nudge Left","Main","Ctrl+LeftArrow","Micro Nudge Left",
"Micro Nudge Right","Main","Ctrl+RightArrow","Micro Nudge Right",
"Micro Nudge Up","Main","Ctrl+UpArrow","Micro Nudge Up",
"Mirror Symmetry","Main","Alt+Shift+M","Create identical shapes mirrored on a set of planes.",
"Move Down","Table Editing","DnArrow","Move Down",
"Move Down 1 Frame","Table Text Editing","PgDn","Move Down 1 Frame",
"Move Down 1 Frame","Text Editing","PgDn","Move Down 1 Frame",
"Move Down 1 Line","Table Text Editing","DnArrow","Move Down 1 Line",
"Move Down 1 Line","Text Editing","DnArrow","Move Down 1 Line",
"Move Down 1 Paragraph","Table Text Editing","Ctrl+DnArrow","Move Down 1 Paragraph",
"Move Down 1 Paragraph","Text Editing","Ctrl+DnArrow","Move Down 1 Paragraph",
"Move Left","Table Editing","LeftArrow","Move Left",
"Move Left 1 Character","Table Text Editing","LeftArrow","Move Left 1 Character",
"Move Left 1 Character","Text Editing","LeftArrow","Move Left 1 Character",
"Move Left 1 Word","Table Text Editing","Ctrl+LeftArrow","Move Left 1 Word",
"Move Left 1 Word","Text Editing","Ctrl+LeftArrow","Move Left 1 Word",
"Move Right","Table Editing","RightArrow","Move Right",
"Move Right 1 Character","Table Text Editing","RightArrow","Move Right 1 Character",
"Move Right 1 Character","Text Editing","RightArrow","Move Right 1 Character",
"Move Right 1 Word","Table Text Editing","Ctrl+RightArrow","Move Right 1 Word",
"Move Right 1 Word","Text Editing","Ctrl+RightArrow","Move Right 1 Word",
"Move Up","Table Editing","UpArrow","Move Up",
"Move Up 1 Frame","Table Text Editing","PgUp","Move Up 1 Frame",
"Move Up 1 Frame","Text Editing","PgUp","Move Up 1 Frame",
"Move Up 1 Line","Table Text Editing","UpArrow","Move Up 1 Line",
"Move Up 1 Line","Text Editing","UpArrow","Move Up 1 Line",
"Move Up 1 Paragraph","Table Text Editing","Ctrl+UpArrow","Move Up 1 Paragraph",
"Move Up 1 Paragraph","Text Editing","Ctrl+UpArrow","Move Up 1 Paragraph",
"Move to Beginning of Frame","Table Text Editing","Ctrl+Home","Move to Beginning of Frame",
"Move to Beginning of Frame","Text Editing","Ctrl+Home","Move to Beginning of Frame",
"Move to Beginning of Line","Table Text Editing","Home","Move to Beginning of Line",
"Move to Beginning of Line","Text Editing","Home","Move to Beginning of Line",
"Move to Beginning of Text","Table Text Editing","Ctrl+PgUp","Move to Beginning of Text",
"Move to Beginning of Text","Text Editing","Ctrl+PgUp","Move to Beginning of Text",
"Move to End of Frame","Table Text Editing","Ctrl+End","Move to End of Frame",
"Move to End of Frame","Text Editing","Ctrl+End","Move to End of Frame",
"Move to End of Line","Table Text Editing","End","Move to End of Line",
"Move to End of Line","Text Editing","End","Move to End of Line",
"Move to End of Text","Table Text Editing","Ctrl+PgDn","Move to End of Text",
"Move to End of Text","Text Editing","Ctrl+PgDn","Move to End of Text",
"Navigator","Main","N","Navigator",
"New...","Main","Ctrl+N","Start a new document.",
"Next Page","Main","PgDn","Next Page",
"Non-breaking Hyphen","Table Text Editing","Ctrl+Shift+-","Non-breaking Hyphen",
"Non-breaking Hyphen","Table Text Editing","Ctrl+_","Non-breaking Hyphen",
"Non-breaking Hyphen","Text Editing","Ctrl+Shift+-","Non-breaking Hyphen",
"Non-breaking Hyphen","Text Editing","Ctrl+_","Non-breaking Hyphen",
"Non-breaking Space","Table Text Editing","Ctrl+Shift+Space","Non-breaking Space",
"Non-breaking Space","Text Editing","Ctrl+Shift+Space","Non-breaking Space",
"None","Table Text Editing","Ctrl+N","Do not align text with the bounding box.",
"None","Text Editing","Ctrl+N","Do not align text with the bounding box.",
"Nudge Anchor Down","Anchor Editing","DnArrow","Nudge Anchor Down",
"Nudge Anchor Left","Anchor Editing","LeftArrow","Nudge Anchor Left",
"Nudge Anchor Right","Anchor Editing","RightArrow","Nudge Anchor Right",
"Nudge Anchor Up","Anchor Editing","UpArrow","Nudge Anchor Up",
"Nudge Down","Main","DnArrow","Nudge Down",
"Nudge Left","Main","LeftArrow","Nudge Left",
"Nudge Right","Main","RightArrow","Nudge Right",
"Nudge Up","Main","UpArrow","Nudge Up",
"Object Styles","Main","Ctrl+F5","Open the Object Styles docker.",
"Objects","Main","Alt+Z","Align objects with other objects in the document.",
"Open ODBC Data Source...","Print Merge","Ctrl+O","Open ODBC Data Source...",
"Open...","Main","Ctrl+O","Open an existing document by browsing to the folder where the document is located.",
"Optional Hyphen","Table Text Editing","Ctrl+-","Optional Hyphen",
"Optional Hyphen","Text Editing","Ctrl+-","Optional Hyphen",
"Outline Color","Main","Shift+F12","Choose the outline color by using color viewers and color palettes.",
"Outline Pen","Main","F12","Set outline properties such as line thickness, corner shape, and arrow type.",
"Pan","Main","Space","Drag hidden areas of a drawing into view without changing the zoom level.",
"Pan Down","Main","Alt+DnArrow","Pan Down",
"Pan Left","Main","Alt+LeftArrow","Pan Left",
"Pan Right","Main","Alt+RightArrow","Pan Right",
"Pan Up","Main","Alt+UpArrow","Pan Up",
"Paste","Main","Ctrl+V","Place the Clipboard contents in the document.",
"Paste","Main","Shift+Insert","Place the Clipboard contents in the document.",
"Paste in View","Main","Ctrl+Shift+V","Paste in View",
"Pen","Main","P","Draw curves in segments, and preview each segment as you draw.",
"Pick","Main","Esc","Select, position, or transform objects.",
"Pick","Main","V","Select, position, or transform objects.",
"Polygon","Main","Y","Draw polygons by dragging in the drawing window.",
"Polyline","Main","Alt+P","Draw connected curves and straight lines in one continuous action.",
"Preflight...","Print Preview","Ctrl+I","Preflight...",
"Prepress...","Print Preview","Ctrl+M","Prepress...",
"Previous Page","Main","PgUp","Previous Page",
"Print","Print Preview","Ctrl+P","Print",
"Print Options","Print Preview","Alt+O","Print Options",
"Print This Sheet Now","Print Preview","Ctrl+T","Print This Sheet Now",
"Print...","Main","Ctrl+P","Choose printing options, and print the active document.",
"Properties","Main","Alt+Enter","Allows the properties of an object to be viewed and edited.",
"Recall Selection Group 0","Main","0","Recall Selection Group 0",
"Recall Selection Group 1","Main","1","Recall Selection Group 1",
"Recall Selection Group 2","Main","2","Recall Selection Group 2",
"Recall Selection Group 3","Main","3","Recall Selection Group 3",
"Recall Selection Group 4","Main","4","Recall Selection Group 4",
"Recall Selection Group 5","Main","5","Recall Selection Group 5",
"Recall Selection Group 6","Main","6","Recall Selection Group 6",
"Recall Selection Group 7","Main","7","Recall Selection Group 7",
"Recall Selection Group 8","Main","8","Recall Selection Group 8",
"Recall Selection Group 9","Main","9","Recall Selection Group 9",
"Record Temporary Script","Main","Ctrl+Shift+R","Record Temporary Script",
"Rectangle","Main","F6","Draw squares and rectangles by dragging in the drawing window.",
"Redo %s","Main","Ctrl+Shift+Z","Reapply the last undone action.",
"Refresh Window","Main","Ctrl+W","Redraw",
"Remove Symmetry","Main","Alt+Shift+S","Revert primary objects to basic objects, and delete all object copies.",
"Repeat %s","Main","Ctrl+R","Repeat",
"Right","Table Text Editing","Ctrl+R","Align text with the right side of the bounding box.",
"Right","Text Editing","Ctrl+R","Align text with the right side of the bounding box.",
"Rotate","Main","Alt+F8","Specify the object's rotation.",
"Rulers","Main","Alt+Shift+R","Show or hide the rulers.",
"Rulers","Print Preview","Ctrl+R","Rulers",
"Run Temporary Script","Main","Ctrl+Shift+P","Run Temporary Script",
"Sample Mesh Fill Color","Main","Ctrl+Shift+E","Sample a color from the desktop to apply to the selected nodes.",
"Save As...","Main","Ctrl+Shift+S","Save As...",
"Save Data Source...","Print Merge","Ctrl+S","Save Data Source...",
"Save Print Style As...","Print Preview","Ctrl+A","Save Print Style As...",
"Save Print Style As...","Print Preview","F12","Save Print Style As...",
"Save...","Main","Ctrl+S","Save the active document.",
"Scale and mirror","Main","Alt+F9","Resize the object by specifying a percentage, and mirror the object.",
"Script Editor...","Main","Alt+F11","Open a script for VBA editing.",
"Scripts","Main","Alt+Shift+F11","Create, load, and manage script projects.",
"Select All Anchors","Anchor Editing","Ctrl+A","Select All Anchors",
"Select Down","Table Editing","Shift+DnArrow","Select Down",
"Select Down 1 Frame","Table Text Editing","Shift+PgDn","Select Down 1 Frame",
"Select Down 1 Frame","Text Editing","Shift+PgDn","Select Down 1 Frame",
"Select Down 1 Line","Table Text Editing","Shift+DnArrow","Select Down 1 Line",
"Select Down 1 Line","Text Editing","Shift+DnArrow","Select Down 1 Line",
"Select Down 1 Paragraph","Table Text Editing","Ctrl+Shift+DnArrow","Select Down 1 Paragraph",
"Select Down 1 Paragraph","Text Editing","Ctrl+Shift+DnArrow","Select Down 1 Paragraph",
"Select Left","Table Editing","Shift+LeftArrow","Select Left",
"Select Left 1 Character","Table Text Editing","Shift+LeftArrow","Select Left 1 Character",
"Select Left 1 Character","Text Editing","Shift+LeftArrow","Select Left 1 Character",
"Select Left 1 Word","Table Text Editing","Ctrl+Shift+LeftArrow","Select Left 1 Word",
"Select Left 1 Word","Text Editing","Ctrl+Shift+LeftArrow","Select Left 1 Word",
"Select Right","Table Editing","Shift+RightArrow","Select Right",
"Select Right 1 Character","Table Text Editing","Shift+RightArrow","Select Right 1 Character",
"Select Right 1 Character","Text Editing","Shift+RightArrow","Select Right 1 Character",
"Select Right 1 Word","Table Text Editing","Ctrl+Shift+RightArrow","Select Right 1 Word",
"Select Right 1 Word","Text Editing","Ctrl+Shift+RightArrow","Select Right 1 Word",
"Select Up","Table Editing","Shift+UpArrow","Select Up",
"Select Up 1 Frame","Table Text Editing","Shift+PgUp","Select Up 1 Frame",
"Select Up 1 Frame","Text Editing","Shift+PgUp","Select Up 1 Frame",
"Select Up 1 Line","Table Text Editing","Shift+UpArrow","Select Up 1 Line",
"Select Up 1 Line","Text Editing","Shift+UpArrow","Select Up 1 Line",
"Select Up 1 Paragraph","Table Text Editing","Ctrl+Shift+UpArrow","Select Up 1 Paragraph",
"Select Up 1 Paragraph","Text Editing","Ctrl+Shift+UpArrow","Select Up 1 Paragraph",
"Select all objects","Main","Ctrl+A","Select all objects",
"Select to Beginning of Frame","Table Text Editing","Ctrl+Shift+Home","Select to Beginning of Frame",
"Select to Beginning of Frame","Text Editing","Ctrl+Shift+Home","Select to Beginning of Frame",
"Select to Beginning of Line","Table Text Editing","Shift+Home","Select to Beginning of Line",
"Select to Beginning of Line","Text Editing","Shift+Home","Select to Beginning of Line",
"Select to Beginning of Text","Table Text Editing","Ctrl+Shift+PgUp","Select to Beginning of Text",
"Select to Beginning of Text","Text Editing","Ctrl+Shift+PgUp","Select to Beginning of Text",
"Select to End of Frame","Table Text Editing","Ctrl+Shift+End","Select to End of Frame",
"Select to End of Frame","Text Editing","Ctrl+Shift+End","Select to End of Frame",
"Select to End of Line","Table Text Editing","Shift+End","Select to End of Line",
"Select to End of Line","Text Editing","Shift+End","Select to End of Line",
"Select to End of Text","Table Text Editing","Ctrl+Shift+PgDn","Select to End of Text",
"Select to End of Text","Text Editing","Ctrl+Shift+PgDn","Select to End of Text",
"Separations...","Print Preview","Ctrl+S","Separations...",
"Shape","Main","F10","Edit a curve object or text character by manipulating nodes.",
"Shape","Main","A","Edit a curve object or text character by manipulating nodes.",
"Show All","Main","Ctrl+Alt+3","Show all objects",
"Show Current Tile","Print Preview","Ctrl+H","Show Current Tile",
"Show Non-Printing Characters","Table Text Editing","Ctrl+Shift+C","Non-printing Characters",
"Show Non-Printing Characters","Text Editing","Ctrl+Shift+C","Non-printing Characters",
"Show full preview","Main","Alt+Shift+P","Show object copies as outlines or full objects.",
"Show unselected nodes with fill","Main","Ctrl+Shift+G","Show unselected nodes with fill",
"Size","Main","Alt+F10","Specify the dimensions of the object.",
"Small Capitals","Table Text Editing","Ctrl+Shift+K","Small Capitals",
"Small Capitals","Text Editing","Ctrl+Shift+K","Small Capitals",
"Smart Drawing","Main","Shift+S","Convert freehand strokes to basic shapes or smoothed curves.",
"Smooth","Main","Shift+A","Smooth object by dragging along its outline.",
"Snap Off","Main","Alt+Q","Turn off all snapping. Click again to restore selected snapping options.",
"Spell Check...","Main","Ctrl+F12","Spelling",
"Step and Repeat","Main","Ctrl+Shift+D","Show Step and Repeat docker",
"Stop Recording","Main","Ctrl+Shift+O","Stop recording the script.",
"Style List","Table Text Editing","Ctrl+Shift+S","Style List",
"Style List","Text Editing","Ctrl+Shift+S","Style List",
"Super Nudge Anchor Down","Anchor Editing","Shift+DnArrow","Super Nudge Anchor Down",
"Super Nudge Anchor Left","Anchor Editing","Shift+LeftArrow","Super Nudge Anchor Left",
"Super Nudge Anchor Right","Anchor Editing","Shift+RightArrow","Super Nudge Anchor Right",
"Super Nudge Anchor Up","Anchor Editing","Shift+UpArrow","Super Nudge Anchor Up",
"Super Nudge Down","Main","Shift+DnArrow","Super Nudge Down",
"Super Nudge Left","Main","Shift+LeftArrow","Super Nudge Left",
"Super Nudge Right","Main","Shift+RightArrow","Super Nudge Right",
"Super Nudge Up","Main","Shift+UpArrow","Super Nudge Up",
"Symbols","Main","Ctrl+F3","Symbols Docker",
"Table","Table Editing","Delete","Delete the selected table",
"Text","Main","Ctrl+T","Edit paragraph and artistic text properties.",
"Text","Main","F8","Add and edit paragraph and artistic text.",
"Text","Table Text Editing","Ctrl+F10","Text Options",
"Text","Text Editing","Ctrl+F10","Text Options",
"To Back of Layer","Main","Shift+PgDn","Move object to the bottom of the stacking order.",
"To Back of Page","Main","Ctrl+End","Move the object to the back of the page.",
"To Front of Layer","Main","Shift+PgUp","Move object to the top of the stacking order.",
"To Front of Page","Main","Ctrl+Home","Move the object to the front of the page.",
"Toggle Cusp and Smooth","Curve Editing","C","Toggle the selected nodes between cusp and smooth.",
"Toggle Line","Curve Editing","L","Toggle the selected nodes between a line and curve segment.",
"Toggle Pick State","Main","Ctrl+Space","Toggle Pick State",
"Toggle Smooth and Symmetrical","Curve Editing","S","Toggle the selected nodes between smooth and symmetrical.",
"Toggle View","Main","Shift+F9","Toggle View",
"Toggle preview colors","Main","Ctrl+Shift+I","Switch between the main and the secondary preview color.",
"Transform","Main","Alt+F7","Specify the object's position on the drawing page.",
"Underline","Table Text Editing","Ctrl+U","Underline the text.",
"Underline","Text Editing","Ctrl+U","Underline the text.",
"Undo %s","Main","Ctrl+Z","Cancel the previous action.",
"Undo %s","Main","Alt+Backspace","Cancel the previous action.",
"Ungroup","Main","Ctrl+U","Break a group into individual objects or groups.",
"Uniform Fill","Main","Shift+F11","Choose a solid fill color for an object by using color palettes, color viewers, color harmonies, or color blends.",
"Unlock All","Main","Ctrl+Alt+2","Enable editing on all objects.",
"Use bullets","Main","Ctrl+M","Add or remove a bulleted-list format.",
"Use drop cap","Table Text Editing","Ctrl+Shift+D","Add or remove a drop cap.",
"Use drop cap","Text Editing","Ctrl+Shift+D","Add or remove a drop cap.",
"Vertical Text","Main","Ctrl+.","Changes the text to vertical",
"View Single Record","Print Merge","Ctrl+V","View Single Record",
"Views","Main","Ctrl+F2","Views docker",
"Virtual Segment Delete","Main","Shift+K","Remove overlapping segments in objects.",
"Visual Studio Editor...","Main","Alt+Shift+F12","Visual Studio Editor...",
"What's This?","Main","Shift+F1","Invokes context sensitive Help",
"Zoom","Main","Z","Change the magnification level of the document window.",
"Zoom In","Main","Ctrl++","Increase the magnification level to view more detail.",
"Zoom In","Main","Ctrl+NUMPAD+","Increase the magnification level to view more detail.",
"Zoom In","Main","Ctrl+=","Increase the magnification level to view more detail.",
"Zoom In","Print Preview","Ctrl++","Zoom In",
"Zoom In","Print Preview","Ctrl+NUMPAD+","Zoom In",
"Zoom In","Print Preview","Ctrl+=","Zoom In",
"Zoom One-Shot","Main","F2","Zoom One-Shot",
"Zoom Out","Main","Ctrl+-","Decrease the magnification level to view a larger portion of the document.",
"Zoom Out","Main","F3","Decrease the magnification level to view a larger portion of the document.",
"Zoom Out","Main","Ctrl+NUMPAD-","Decrease the magnification level to view a larger portion of the document.",
"Zoom Out","Main","Ctrl+_","Decrease the magnification level to view a larger portion of the document.",
"Zoom Out","Print Preview","F3","Zoom Out",
"Zoom Out","Print Preview","Ctrl+-","Zoom Out",
"Zoom Out","Print Preview","Ctrl+NUMPAD-","Zoom Out",
"Zoom Out","Print Preview","Ctrl+_","Zoom Out",
"Zoom To Fit","Main","F4","Adjust the magnification level to include all objects",
"Zoom To Fit","Main","Ctrl+0","Adjust the magnification level to include all objects",
"Zoom To Page","Main","Shift+F4","Adjust the magnification level to fit the entire page.",
"Zoom To Selection","Main","Shift+F2","Magnify only the selected object.",
"Zoom to Fit","Print Preview","F4","Zoom to Fit",
"Zoom to Page","Print Preview","Shift+F4","Zoom to Page",
"Zoom to Selection","Print Preview","Shift+F2","Zoom to Selection",
"¼ Em Space","Table Text Editing","Ctrl+Alt+Space","¼ Em Space",
"¼ Em Space","Text Editing","Ctrl+Alt+Space","¼ Em Space",
